Timestamp,VAV1902_RT_TL,ITBQ10_GRID_FK_B3_RT_POLL_TL,ITBQ10_GRID_FH_B3_RT_POLL_TL
2024-03-24 00:00:00,,22.1517982,20.8633728
2024-03-24 00:02:00,21.7865219,,
2024-03-24 00:05:00,,22.1517982,20.8633728
2024-03-24 00:07:00,21.7865219,,
2024-03-24 00:10:00,,22.1998672,20.8633728
2024-03-24 00:12:00,21.7865219,,
2024-03-24 00:15:00,,22.2308197,20.8633728
2024-03-24 00:17:00,21.7865219,,
2024-03-24 00:20:00,,22.209713,20.8633728
2024-03-24 00:22:00,21.7865219,,
2024-03-24 00:25:00,,22.224865,20.8633728
2024-03-24 00:27:00,21.7865219,,
2024-03-24 00:30:00,,22.2239056,20.8633728
2024-03-24 00:32:00,21.7817154,,
2024-03-24 00:35:00,,22.1517982,20.8393383
2024-03-24 00:37:00,21.7384491,,
2024-03-24 00:40:00,,22.1517982,20.7720375
2024-03-24 00:42:00,21.7394123,,
2024-03-24 00:45:00,,22.1517982,20.767231
2024-03-24 00:47:00,21.7486343,,
2024-03-24 00:50:00,,22.1517982,20.767231
2024-03-24 00:52:00,21.7192211,,
2024-03-24 00:55:00,,22.1517982,20.767231
2024-03-24 00:57:00,21.6903801,,
2024-03-24 01:00:00,,22.0893059,20.767231
2024-03-24 01:02:00,21.6903801,,
2024-03-24 01:05:00,,22.0643082,20.767231
2024-03-24 01:07:00,21.7556171,,
2024-03-24 01:10:00,,22.0556564,20.7342663
2024-03-24 01:12:00,21.6903801,,
2024-03-24 01:15:00,,22.0556564,20.767231
2024-03-24 01:17:00,21.6903801,,
2024-03-24 01:20:00,,22.0556564,20.767231
2024-03-24 01:22:00,21.6903801,,
2024-03-24 01:25:00,,22.0556564,20.767231
2024-03-24 01:27:00,21.6855736,,
2024-03-24 01:30:00,,22.0556564,20.6710892
2024-03-24 01:32:00,21.6903801,,
2024-03-24 01:35:00,,22.0556564,20.7308884
2024-03-24 01:37:00,21.6903801,,
2024-03-24 01:40:00,,22.0556564,20.7295418
2024-03-24 01:42:00,21.6903801,,
2024-03-24 01:45:00,,22.0556564,20.6710892
2024-03-24 01:47:00,21.6903801,,
2024-03-24 01:50:00,,22.0556564,20.6710892
2024-03-24 01:52:00,21.6903801,,
2024-03-24 01:55:00,,22.0508499,20.6951237
2024-03-24 01:57:00,21.6903801,,
2024-03-24 02:00:00,,22.0556564,20.6710892
2024-03-24 02:02:00,21.6855736,,
2024-03-24 02:05:00,,22.0556564,20.6710892
2024-03-24 02:07:00,21.6903801,,
2024-03-24 02:10:00,,22.0556564,20.6710892
2024-03-24 02:12:00,21.6903801,,
2024-03-24 02:15:00,,22.0556564,20.6710892
2024-03-24 02:17:00,21.6903801,,
2024-03-24 02:20:00,,22.0556564,20.6710892
2024-03-24 02:22:00,21.6903801,,
2024-03-24 02:25:00,,22.0556564,20.6710892
2024-03-24 02:27:00,21.6855736,,
2024-03-24 02:30:00,,22.0508499,20.6710892
2024-03-24 02:32:00,21.6903801,,
2024-03-24 02:35:00,,21.9595146,20.6710892
2024-03-24 02:37:00,21.6774559,,
2024-03-24 02:40:00,,21.9835491,20.6710892
2024-03-24 02:42:00,21.6509609,,
2024-03-24 02:45:00,,21.9595146,20.6710892
2024-03-24 02:47:00,21.6659527,,
2024-03-24 02:50:00,,21.9595146,20.6710892
2024-03-24 02:52:00,21.6903801,,
2024-03-24 02:55:00,,22.0556564,20.6710892
2024-03-24 02:57:00,21.7153759,,
2024-03-24 03:00:00,,22.0556564,20.6710892
2024-03-24 03:02:00,21.7624874,,
2024-03-24 03:05:00,,22.0556564,20.6710892
2024-03-24 03:07:00,21.776907,,
2024-03-24 03:10:00,,22.0356579,20.6710892
2024-03-24 03:12:00,21.7865219,,
2024-03-24 03:15:00,,22.0316219,20.6710892
2024-03-24 03:17:00,21.7865219,,
2024-03-24 03:20:00,,22.0325813,20.6710892
2024-03-24 03:22:00,21.7817154,,
2024-03-24 03:25:00,,22.0556564,20.6710892
2024-03-24 03:27:00,21.7865219,,
2024-03-24 03:30:00,,22.0556564,20.6710892
2024-03-24 03:32:00,21.7865219,,
2024-03-24 03:35:00,,22.0556564,20.6710892
2024-03-24 03:37:00,21.7865219,,
2024-03-24 03:40:00,,22.0460415,20.6710892
2024-03-24 03:42:00,21.7865219,,
2024-03-24 03:45:00,,22.0229683,20.6710892
2024-03-24 03:47:00,21.7865219,,
2024-03-24 03:50:00,,22.0027771,20.6710892
2024-03-24 03:52:00,21.8059349,,
2024-03-24 03:55:00,,21.9881248,20.6710892
2024-03-24 03:57:00,21.8221493,,
2024-03-24 04:00:00,,21.9846954,20.6710892
2024-03-24 04:02:00,21.8057499,,
2024-03-24 04:05:00,,22.0316219,20.6710892
2024-03-24 04:07:00,21.7865219,,
2024-03-24 04:10:00,,21.9595146,20.6710892
2024-03-24 04:12:00,21.7817154,,
2024-03-24 04:15:00,,21.9595146,20.6710892
2024-03-24 04:17:00,21.7865219,,
2024-03-24 04:20:00,,21.9595146,20.6710892
2024-03-24 04:22:00,21.7865219,,
2024-03-24 04:25:00,,21.9201965,20.6470547
2024-03-24 04:27:00,21.7865219,,
2024-03-24 04:30:00,,21.9595146,20.6230164
2024-03-24 04:32:00,21.7913284,,
2024-03-24 04:35:00,,21.9547081,20.6230164
2024-03-24 04:37:00,21.7865219,,
2024-03-24 04:40:00,,21.9547081,20.5989819
2024-03-24 04:42:00,21.7865219,,
2024-03-24 04:45:00,,21.9268265,20.6134033
2024-03-24 04:47:00,21.7865219,,
2024-03-24 04:50:00,,21.9354801,20.6566257
2024-03-24 04:52:00,21.7865219,,
2024-03-24 04:55:00,,21.9595146,20.6710892
2024-03-24 04:57:00,21.7951736,,
2024-03-24 05:00:00,,21.9595146,20.6710892
2024-03-24 05:02:00,21.8105564,,
2024-03-24 05:05:00,,21.9595146,20.6334038
2024-03-24 05:07:00,21.7865219,,
2024-03-24 05:10:00,,21.9354801,20.5749474
2024-03-24 05:12:00,21.7865219,,
2024-03-24 05:15:00,,21.9547081,20.6470547
2024-03-24 05:17:00,21.7865219,,
2024-03-24 05:20:00,,21.9595146,20.6710892
2024-03-24 05:22:00,21.7963676,,
2024-03-24 05:25:00,,21.9595146,20.6710892
2024-03-24 05:27:00,21.7865219,,
2024-03-24 05:30:00,,21.9018288,20.6182098
2024-03-24 05:32:00,21.7865219,,
2024-03-24 05:35:00,,21.8681793,20.6134033
2024-03-24 05:37:00,21.7865219,,
2024-03-24 05:40:00,,21.8633728,20.6486301
2024-03-24 05:42:00,21.7865219,,
2024-03-24 05:45:00,,21.944561,20.6710892
